image_name	cell_number	mRNA_entry	peptide_entry	pep_amp	normalized_pep_amp	distance	X Coord	Y Coord	Z Coord
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	960	14280	3687.56	3.0710728384163097	150.65191668213185	131602	129974	6551.16
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	961	14281	2353.12	1.9597248363509168	656.5394123736975	133338	130352	6257.1
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	962	14282	3586.61	2.9869996835284907	607.7310260304307	130846	130472	7018.08
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	963	14286	1986.27	1.6542049069740326	630.489492378739	133461	130577	6713.51
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	68	1429	2398.29	0.9922302622596779	484.7240555202552	82516.7	186404	5126.94
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	964	14294	5643.26	4.69981844529207	32.802438933713454	123549	141819	6500.61
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	965	14300	1595.38	1.3286639905391675	640.6637183421581	123090	142458	6592.97
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	967	14311	2663.62	2.2183153721871514	605.6352037324118	122913	144578	6724.88
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	968	14312	6201.09	5.164390292652864	89.0	120006	144703	7263.63
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	970	14320	6798.42	5.661858520578976	252.98221281347034	121940	145605	6496.38
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	971	14341	3065.56	2.553058946982694	633.192703685063	120188	146871	6675.31
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	972	14343	2513.9	2.093625597548179	567.7358540730011	122693	146937	6758.36
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	973	14359	6009.62	5.004930292985992	63.50590523722971	123645	148380	7194.13
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	976	14364	3942.71	3.2835668004730416	686.4706840062437	122680	148621	7843.2
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	975	14366	3673.9	3.059696520479038	135.05924625881784	121336	148644	7659.22
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	978	14373	6877.62	5.727817845661842	213.84573879317773	124294	149728	6822.14
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	979	14378	4014.58	3.3434215567066974	337.12015662075146	122343	150075	7137.23
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	977	14380	4310.49	3.589861252227793	683.4069066083543	123846	149113	8132.44
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	980	14390	6120.52	5.097290004497227	246.03251817595168	120438	151032	6867.02
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	981	14393	4987.87	4.153996702033746	220.05681084665386	127093	151292	6613.14
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	982	14394	2863.64	2.3848959808118324	624.4397488949594	123865	151915	7198.75
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	983	14399	3631.59	3.024459916384896	531.9069467491471	126032	152281	7257.17
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	984	14407	3958.55	3.296758665489615	411.45838185653724	124399	152352	5885.68
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	986	14411	5456.74	4.544480903442877	167.70509831248424	125252	153066	6850.36
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	987	14412	2899.05	2.4143861285540584	370.3457843691487	121570	153440	7312.35
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	988	14416	3422.78	2.85055882205973	241.05186163977245	126729	153698	7343.19
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	990	14422	3934.84	3.2770125089528124	268.28715958837836	125656	153839	7143.93
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	991	14429	1722.66	1.434665289737995	196.72569735548024	122727	154378	6854.3
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	992	14436	3727.85	3.104627146592934	681.0264312051332	124586	155483	7314.78
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	993	14438	6189.22	5.1545047220880456	93.90420650854784	126229	155664	6029.19
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	994	14439	5127.4	4.270200043306628	170.6985647274165	127342	155908	6019.21
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	995	14446	3609.88	3.0063793993703882	198.2447981663075	122980	156707	7325.21
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	996	14473	2970.47	2.4738661158951976	589.5981682468154	125621	158953	6966.83
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	998	14481	3653.72	3.0428902176990853	119.36498649101419	126264	160018	7571.43
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	999	14482	4786.78	3.9865249762646364	283.2966642938106	127869	160028	7117.74
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1001	14490	3859.15	3.213976381231574	588.3077425973587	124734	160670	7914.84
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1002	14496	6968.86	5.80380432066892	271.7094035914105	126913	160991	6907.29
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1003	14507	3156.03	2.6284041507736897	545.6198310178984	127384	162225	7557.78
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1005	14509	2765.72	2.3033462698002896	609.0073891177348	128712	163019	7338.49
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1004	14512	3314.53	2.7604060829155355	574.8643318209959	128126	163006	6393.89
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1008	14523	5497.23	4.57820177557173	679.5123251273666	127581	164744	7089.67
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1009	14525	2671.09	2.2245365358029217	260.3420826528051	126442	165145	7827.17
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1012	14528	6343.33	5.282850575478455	182.58422713914803	127089	166053	6380.31
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1011	14529	5551.31	4.623240668254577	645.6756151505182	128209	165317	7542.69
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1014	14537	2495.64	2.078418308709629	228.96506283710622	128553	166803	6935.16
