image_name	cell_number	mRNA_entry	X Coord	Y Coord	Z Coord
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	672	129705	91123.5	3571.33
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_3	735	124596	101629	6887.21
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_4	766	129565	121721	4138.29
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_4	768	132004	123362	3983.7
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_4	839	154370	138913	3056.81
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_4	849	169014	150600	4414.97
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_4	863	235347	199451	3441.21
23-08-14_motorNeurons_SUNTAG307_MG132_007_XY1_555S.tif	Cell_4	865	235625	200185	3529.7
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY1_555S.tif	Cell_1	866	95790	94430	5233.64
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY1_555S.tif	Cell_1	867	139716	140703	5418.68
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY1_555S.tif	Cell_2	870	169882	138708	4873.35
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY1_555S.tif	Cell_3	885	116494	179294	5790.22
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	923	151918	41542.1	5113.19
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	924	133049	70894.2	5489.14
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	936	111592	113967	6234
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_2	952	169245	116563	6121.42
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	974	126758	148507	7273.53
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	997	127203	159435	7060.12
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1007	125723	163894	6804.62
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1017	126281	167732	6596.78
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1018	127220	169185	7103.54
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1020	131844	172646	7596.39
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1021	131831	172999	7122.79
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_4	1031	111975	145658	6840.42
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_4	1037	91019.7	171652	6406.61
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_4	1038	87593.3	177324	6652.34
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_5	1059	76668.6	138268	6600.91
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_5	1060	77346.6	141012	6662.08
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_5	1065	62860.7	145716	5997.36
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_5	1067	51821.7	148556	7034.87
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_5	1068	52867.5	148638	6378.09
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	45	58571.9	152140	7986.97
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	41	57322.7	151767	10653.2
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	44	56151.4	152119	10171.6
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	46	56832.2	152470	4865.12
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_2	905	94344	102670	6087.54
23-08-14_motorNeurons_SUNTAG307_MG132_008_XY2_555S.tif	Cell_3	916	116727	56048.8	6019.45
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	940	110621	116192	6379.13
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_1	946	110899	117699	8641.69
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	60	78552.6	180062	5003.81
23-08-14_motorNeurons_SUNTAG307_Ctrl_014_XY1_555S.tif	Cell_3	67	81645.1	185068	5258.7
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	966	120382	144287	7376.77
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	969	121795	144783	8036.37
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	985	125160	152539	6189.41
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	989	122684	153950	7068.37
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1000	125702	160496	7126.83
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1006	128086	163781	6982.04
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1010	127117	165348	7090.12
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_3	1016	128408	167442	7573.41
23-08-14_motorNeurons_SUNTAG307_MG132_009_XY1_555S.tif	Cell_5	1042	88843.5	132625	7600.17
